date,total_volume_usd,avg_closed_pnl,median_closed_pnl,trade_count,win_count,win_rate,classification,sentiment_simple,value
2023-03-28,477.0,0.0,0.0,3,0,0.0,Greed,Greed,59.0
2023-11-14,11555429.76,0.1488070401913875,0.0,1045,287,0.27464114832535885,Greed,Greed,69.0
2024-03-09,39406770.25,25.418772159436944,0.0,6962,3412,0.49008905486929044,Extreme Greed,Greed,84.0
2024-07-03,21843234.35,22.229712656210616,0.0,7141,2265,0.3171824674415348,Neutral,Neutral,50.0
2024-10-27,103947765.09,90.50427150248291,0.0,35241,15915,0.4516046650208564,Greed,Greed,74.0
2025-02-19,704158492.98,50.047621894017375,0.0,133871,55576,0.41514592406122314,Fear,Fear,44.0
2025-06-15,310275273.03,2.6597436161121624,0.0,26961,9414,0.34917102481361967,,,
